Model,Bootstrap Sampling,Cluster Sampling,Simple Random Sampling,Stratified Sampling,Systematic Sampling
Decision Tree,97.41379310344827,99.34497816593887,95.6896551724138,99.56331877729258,98.0392156862745
Logistic Regression,93.96551724137932,92.35807860262008,93.10344827586206,93.01310043668121,95.42483660130719
Naive Bayes,75.0,74.45414847161572,76.72413793103449,75.10917030567686,77.12418300653596
Random Forest,100.0,100.0,98.27586206896551,100.0,100.0
SVM,69.82758620689656,69.86899563318777,71.55172413793103,70.3056768558952,66.01307189542483
